,Year,FIPSST,ADHD_Diagnosis,percentage
1,2016,1,Yes,12.804878048780488
3,2016,2,Yes,6.854345165238677
5,2016,4,Yes,9.070294784580499
7,2016,5,Yes,12.515188335358445
9,2016,6,Yes,6.538049303322616
11,2016,8,Yes,7.6007326007326
13,2016,9,Yes,10.325581395348838
15,2016,10,Yes,12.184412733260155
17,2016,11,Yes,6.680161943319838
19,2016,12,Yes,9.899888765294772
21,2016,13,Yes,9.987357774968395
23,2016,15,Yes,6.4923354373309285
25,2016,16,Yes,8.773584905660377
27,2016,17,Yes,8.672086720867208
29,2016,18,Yes,12.085561497326204
31,2016,19,Yes,8.177777777777779
33,2016,20,Yes,9.780439121756487
35,2016,21,Yes,10.4
37,2016,22,Yes,15.805022156573118
39,2016,23,Yes,11.451942740286299
41,2016,24,Yes,10.138248847926267
43,2016,25,Yes,10.418445772843723
45,2016,26,Yes,11.339285714285714
47,2016,27,Yes,8.339538346984364
49,2016,28,Yes,15.689381933438987
51,2016,29,Yes,10.297029702970297
53,2016,30,Yes,7.114624505928854
55,2016,31,Yes,6.629318394024277
57,2016,32,Yes,5.304010349288486
59,2016,33,Yes,10.446247464503044
61,2016,34,Yes,7.642124883504193
63,2016,35,Yes,9.541984732824428
65,2016,36,Yes,7.348242811501597
67,2016,37,Yes,11.970338983050848
69,2016,38,Yes,9.186602870813397
71,2016,39,Yes,11.187438665358194
73,2016,40,Yes,10.742705570291777
75,2016,41,Yes,6.551410373066425
77,2016,42,Yes,7.339449541284404
79,2016,44,Yes,11.073446327683616
81,2016,45,Yes,14.840182648401825
83,2016,46,Yes,8.444444444444445
85,2016,47,Yes,10.592255125284739
87,2016,48,Yes,11.180124223602485
89,2016,49,Yes,9.498680738786279
91,2016,50,Yes,6.9306930693069315
93,2016,51,Yes,10.425716768027801
95,2016,53,Yes,8.753315649867375
97,2016,54,Yes,11.749680715197956
99,2016,55,Yes,7.790143084260731
101,2016,56,Yes,9.615384615384617
103,2017,1,Yes,13.679245283018867
105,2017,2,Yes,7.65661252900232
107,2017,4,Yes,6.728538283062645
109,2017,5,Yes,14.369501466275661
111,2017,6,Yes,5.617977528089887
113,2017,8,Yes,8.235294117647058
115,2017,9,Yes,8.369098712446352
117,2017,10,Yes,9.879518072289157
119,2017,11,Yes,7.2562358276643995
121,2017,12,Yes,9.7799511002445
123,2017,13,Yes,12.200956937799043
125,2017,15,Yes,6.382978723404255
127,2017,16,Yes,7.196029776674938
129,2017,17,Yes,6.8493150684931505
131,2017,18,Yes,10.823529411764705
133,2017,19,Yes,8.591885441527445
135,2017,20,Yes,10.772833723653395
137,2017,21,Yes,11.508951406649617
139,2017,22,Yes,15.903614457831324
141,2017,23,Yes,11.963882618510159
143,2017,24,Yes,11.751662971175167
145,2017,25,Yes,7.9326923076923075
147,2017,26,Yes,8.962264150943396
149,2017,27,Yes,9.744779582366588
151,2017,28,Yes,15.384615384615385
153,2017,29,Yes,10.638297872340425
155,2017,30,Yes,10.15801354401806
157,2017,31,Yes,6.338028169014084
159,2017,32,Yes,6.25
161,2017,33,Yes,10.7981220657277
163,2017,34,Yes,9.195402298850574
165,2017,35,Yes,7.908163265306123
167,2017,36,Yes,7.936507936507936
169,2017,37,Yes,12.11340206185567
171,2017,38,Yes,7.764705882352942
173,2017,39,Yes,11.435523114355231
175,2017,40,Yes,10.26252983293556
177,2017,41,Yes,10.098522167487685
179,2017,42,Yes,9.692671394799055
181,2017,44,Yes,9.024390243902438
183,2017,45,Yes,12.439024390243903
185,2017,46,Yes,6.531531531531531
187,2017,47,Yes,12.158808933002481
189,2017,48,Yes,9.814323607427056
191,2017,49,Yes,8.16326530612245
193,2017,50,Yes,8.904109589041095
195,2017,51,Yes,10.476190476190476
197,2017,53,Yes,7.674418604651163
199,2017,54,Yes,12.66490765171504
201,2017,55,Yes,6.779661016949152
203,2017,56,Yes,10.024449877750612
205,2018,1,Yes,11.690363349131122
207,2018,2,Yes,10.251450676982591
209,2018,4,Yes,8.156606851549755
211,2018,5,Yes,11.780104712041885
213,2018,6,Yes,7.427536231884058
215,2018,8,Yes,7.7854671280276815
217,2018,9,Yes,10.01890359168242
219,2018,10,Yes,11.343804537521814
221,2018,11,Yes,8.123791102514506
223,2018,12,Yes,9.666666666666666
225,2018,13,Yes,12.73031825795645
227,2018,15,Yes,6.33147113594041
229,2018,16,Yes,7.0359281437125745
231,2018,17,Yes,9.541284403669724
233,2018,18,Yes,11.8673647469459
235,2018,19,Yes,11.844331641285956
237,2018,20,Yes,10.872894333843798
239,2018,21,Yes,12.5
241,2018,22,Yes,17.405063291139243
243,2018,23,Yes,10.08849557522124
245,2018,24,Yes,10.734463276836157
247,2018,25,Yes,9.166666666666666
249,2018,26,Yes,10.243055555555555
251,2018,27,Yes,7.894736842105263
253,2018,28,Yes,13.114754098360656
255,2018,29,Yes,10.317460317460316
257,2018,30,Yes,7.648183556405354
259,2018,31,Yes,7.8431372549019605
261,2018,32,Yes,7.470288624787775
263,2018,33,Yes,12.218649517684888
265,2018,34,Yes,7.194244604316546
267,2018,35,Yes,6.645056726094004
269,2018,36,Yes,8.11320754716981
271,2018,37,Yes,11.265432098765432
273,2018,38,Yes,8.156606851549755
275,2018,39,Yes,9.380234505862646
277,2018,40,Yes,9.30930930930931
279,2018,41,Yes,8.211678832116789
281,2018,42,Yes,9.490333919156415
283,2018,44,Yes,9.966777408637874
285,2018,45,Yes,10.725552050473187
287,2018,46,Yes,8.378870673952642
289,2018,47,Yes,11.185308848080133
291,2018,48,Yes,10.53484602917342
293,2018,49,Yes,9.67741935483871
295,2018,50,Yes,8.231173380035026
297,2018,51,Yes,11.32404181184669
299,2018,53,Yes,11.009174311926607
