,Year,Race,ADHD_Diagnosis,percentage
1,2016,American Indian/Alaska Native,Yes,10.991957104557642
3,2016,Asian,Yes,3.2834731849689893
5,2016,Black/African American,Yes,11.608623548922056
7,2016,Native Hawaiian/Other Pacific Islander alone,Yes,8.21917808219178
9,2016,Two or More Races,Yes,9.886142738128298
11,2016,White,Yes,9.84707584211614
13,2017,American Indian/Alaska Native,Yes,13.071895424836603
15,2017,Asian,Yes,3.054806828391734
17,2017,Black/African American,Yes,12.237762237762238
19,2017,Native Hawaiian/Other Pacific Islander alone,Yes,8.064516129032258
21,2017,Two or More Races,Yes,9.621993127147768
23,2017,White,Yes,9.923710711016174
25,2018,American Indian/Alaska Native,Yes,12.549019607843137
27,2018,Asian,Yes,3.1123139377537212
29,2018,Black/African American,Yes,11.361410381978452
31,2018,Native Hawaiian/Other Pacific Islander alone,Yes,2.564102564102564
33,2018,Two or More Races,Yes,10.03928415539066
35,2018,White,Yes,10.287534435261708
37,2019,American Indian/Alaska Native,Yes,11.023622047244094
39,2019,Asian,Yes,3.796610169491525
41,2019,Black/African American,Yes,11.669921875
43,2019,Native Hawaiian/Other Pacific Islander alone,Yes,6.806282722513089
45,2019,Two or More Races,Yes,9.39153439153439
47,2019,White,Yes,10.864841373315949
49,2020,American Indian/Alaska Native,Yes,8.624708624708624
51,2020,Asian,Yes,3.199002908184462
53,2020,Black/African American,Yes,10.89763779527559
55,2020,Native Hawaiian/Other Pacific Islander alone,Yes,8.19672131147541
57,2020,Two or More Races,Yes,9.92052617155385
59,2020,White,Yes,10.60262383521334
61,2021,American Indian/Alaska Native,Yes,8.403361344537815
63,2021,Asian,Yes,2.986577181208054
65,2021,Black/African American,Yes,10.109828217403548
67,2021,Native Hawaiian/Other Pacific Islander alone,Yes,5.743243243243244
69,2021,Two or More Races,Yes,9.95980348369808
71,2021,White,Yes,9.619346863088493
73,2022,American Indian/Alaska Native,Yes,10.984848484848484
75,2022,Asian,Yes,3.6070381231671558
77,2022,Black/African American,Yes,11.11111111111111
79,2022,Native Hawaiian/Other Pacific Islander alone,Yes,5.232558139534884
81,2022,Two or More Races,Yes,10.51063829787234
83,2022,White,Yes,10.75331629548497
