Disease,Prevalence,2016,2017,2018,2019,2020,2021,2022
Learning_Disability,36.41216908000585,34.92933980172959,36.30634997576345,35.79088471849866,35.48704493276484,37.71481653506735,37.964148527528806,36.238448994383035
ADHD,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Depression,22.352640046804154,20.185614849187935,20.84343189529811,21.58176943699732,22.204001311905543,21.5513237343242,24.242424242424242,24.297880050733827
Anxiety,42.25903173906684,37.46045138156507,37.95443528841493,41.18632707774799,42.144965562479506,43.056200650255455,44.77166026461801,45.87787642688893
Behavior_Problems,49.685534591194966,50.453490824720525,50.12118274357732,48.424932975871315,46.900623155132834,51.48629818857409,53.00896286811779,46.85631454973727
Autism,14.13997367266345,12.655557899177388,13.523994183228307,13.304289544235925,14.168579862249919,13.748258244310266,14.468629961587709,16.10799057800326
Developmental_Delay,25.555799327190286,23.644800674963086,25.73921473582162,25.93833780160858,25.582158084617905,26.265675801207617,26.845924029022623,25.25819894908498
Speech_Disorder,19.63946175223051,17.82324404134149,19.292292777508482,18.96782841823056,18.202689406362744,19.600557361820712,21.574903969270167,20.873346620764632
Tourette_Syndrome,1.4882258300424163,1.4342965619067707,1.5511391177896268,1.2064343163538873,1.475893735651033,1.1611704598235022,1.579172001707213,1.848160898713535
Asthma,20.725464384964166,21.51444842860156,21.909840038778476,21.21313672922252,21.023286323384717,21.13330236878774,20.166453265044815,19.333212538503354
Epilepsy,2.709521720052655,2.974056106306686,2.8114396509936985,2.4463806970509383,2.7877992784519514,2.9958197863446356,2.6888604353393086,2.337379960137706
Deafness,2.2122275851981863,2.404556000843704,2.278235579253514,1.9101876675603215,2.5582158084617905,2.275894101254064,2.45411865130175,1.739445551730386
Intellectual_Disability,4.31475793476671,4.113056317232652,4.507998061076103,4.2560321715817695,4.198097736962938,4.342777519739898,4.609475032010243,4.239898532342816
Cerebral_Palsy,0.5521427526692994,0.4851297194684666,1.0179350460494425,0.6367292225201072,0.45916693998032143,0.46446818392940087,0.5548442168160478,0.5073382859213627
